"gene","size","name","description"
"ENSG00000110497.14",5351,"AMBRA1","autophagy"
"ENSG00000110514.19",6005,"MADD","MAP"
"ENSG00000110536.13",1611,"PTPMT1","protein"
"ENSG00000110583.12",3664,"NAA40","N(alpha)-acetyltransferase"
"ENSG00000110619.17",2758,"CARS","cysteinyl-tRNA"
"ENSG00000110628.13",1755,"SLC22A18","solute"
"ENSG00000110651.11",1520,"CD81","CD81"
"ENSG00000110660.14",3331,"SLC35F2","solute"
"ENSG00000110665.11",2956,"C11orf21","chromosome"
"ENSG00000110675.12",2852,"ELMOD1","ELMO"
"ENSG00000110680.12",916,"CALCA","calcitonin"
"ENSG00000110693.17",8865,"SOX6","SRY-box"
"ENSG00000110696.9",2049,"C11orf58","chromosome"
"ENSG00000110697.12",4225,"PITPNM1","phosphatidylinositol"
"ENSG00000110700.6",646,"RPS13","ribosomal"
"ENSG00000110711.9",1221,"AIP","aryl"
"ENSG00000110713.15",7023,"NUP98","nucleoporin"
"ENSG00000110717.12",791,"NDUFS8","NADH:ubiquinone"
"ENSG00000110719.9",2677,"TCIRG1","T"
"ENSG00000110721.11",2530,"CHKA","choline"
"ENSG00000110723.11",10187,"EXPH5","exophilin"
"ENSG00000110756.17",4725,"HPS5","HPS5,"
"ENSG00000110768.11",2982,"GTF2H1","general"
"ENSG00000110777.11",3295,"POU2AF1","POU"
"ENSG00000110786.17",3871,"PTPN5","protein"
"ENSG00000110799.13",8838,"VWF","von"
"ENSG00000110801.13",2784,"PSMD9","proteasome"
"ENSG00000110811.19",2632,"P3H3","prolyl"
"ENSG00000110841.13",6001,"PPFIBP1","PPFIA"
"ENSG00000110844.13",3602,"PRPF40B","pre-mRNA"
"ENSG00000110848.8",1676,"CD69","CD69"
"ENSG00000110851.11",4210,"PRDM4","PR/SET"
"ENSG00000110852.4",1700,"CLEC2B","C-type"
"ENSG00000110871.14",1535,"COQ5","coenzyme"
"ENSG00000110876.9",2256,"SELPLG","selectin"
"ENSG00000110880.10",3921,"CORO1C","coronin"
"ENSG00000110881.11",4072,"ASIC1","acid"
"ENSG00000110887.7",1756,"DAO","D-amino"
"ENSG00000110888.17",4334,"CAPRIN2","caprin"
"ENSG00000110900.14",5505,"TSPAN11","tetraspanin"
"ENSG00000110906.12",4163,"KCTD10","potassium"
"ENSG00000110911.15",4348,"SLC11A2","solute"
"ENSG00000110917.7",6626,"MLEC","malectin"
"ENSG00000110921.13",2747,"MVK","mevalonate"
"ENSG00000110925.6",4471,"CSRNP2","cysteine"
"ENSG00000110931.18",5598,"CAMKK2","calcium/calmodulin"
"ENSG00000110934.10",2255,"BIN2","bridging"
"ENSG00000110944.8",1046,"IL23A","interleukin"
"ENSG00000110955.8",1839,"ATP5F1B","ATP"
"ENSG00000110958.15",2077,"PTGES3","prostaglandin"
"ENSG00000110975.8",4461,"SYT10","synaptotagmin"
"ENSG00000110987.8",6247,"BCL7A","BCL"
"ENSG00000111011.17",3520,"RSRC2","arginine"
"ENSG00000111012.9",2540,"CYP27B1","cytochrome"
"ENSG00000111046.3",1465,"MYF6","myogenic"
"ENSG00000111049.3",1542,"MYF5","myogenic"
"ENSG00000111052.7",6112,"LIN7A","lin-7"
"ENSG00000111057.10",1696,"KRT18","keratin"
"ENSG00000111058.7",9254,"ACSS3","acyl-CoA"
"ENSG00000111077.17",5010,"TNS2","tensin"
"ENSG00000111087.9",3613,"GLI1","GLI"
"ENSG00000111110.11",6353,"PPM1H","protein"
"ENSG00000111142.13",3601,"METAP2","methionyl"
"ENSG00000111144.9",2139,"LTA4H","leukotriene"
"ENSG00000111145.7",4205,"ELK3","ELK3,"
"ENSG00000111181.12",3332,"SLC6A12","solute"
"ENSG00000111186.12",2303,"WNT5B","Wnt"
"ENSG00000111196.9",2623,"MAGOHB","mago"
"ENSG00000111199.10",3247,"TRPV4","transient"
"ENSG00000111203.12",2361,"ITFG2","integrin"
"ENSG00000111206.12",3487,"FOXM1","forkhead"
"ENSG00000111215.12",563,"PRR4","proline"
"ENSG00000111218.11",2366,"PRMT8","protein"
"ENSG00000111224.13",4424,"PARP11","poly(ADP-ribose)"
"ENSG00000111229.15",1014,"ARPC3","actin"
"ENSG00000111231.8",1604,"GPN3","GPN-loop"
"ENSG00000111237.18",1523,"VPS29","VPS29,"
"ENSG00000111241.2",743,"FGF6","fibroblast"
"ENSG00000111245.14",807,"MYL2","myosin"
"ENSG00000111247.14",2163,"RAD51AP1","RAD51"
"ENSG00000111249.13",6844,"CUX2","cut"
"ENSG00000111252.10",5406,"SH2B3","SH2B"
"ENSG00000111254.7",3339,"AKAP3","A-kinase"
"ENSG00000111261.13",5831,"MANSC1","MANSC"
"ENSG00000111262.5",7997,"KCNA1","potassium"
"ENSG00000111266.8",5253,"DUSP16","dual"
"ENSG00000111269.2",3754,"CREBL2","cAMP"
"ENSG00000111271.14",4071,"ACAD10","acyl-CoA"
"ENSG00000111275.12",9569,"ALDH2","aldehyde"
"ENSG00000111276.10",2657,"CDKN1B","cyclin"
"ENSG00000111291.8",1038,"GPRC5D","G"
"ENSG00000111300.9",6010,"NAA25","N(alpha)-acetyltransferase"
"ENSG00000111305.18",2390,"GSG1","germ"
"ENSG00000111319.12",3481,"SCNN1A","sodium"
"ENSG00000111321.10",2260,"LTBR","lymphotoxin"
"ENSG00000111325.16",2308,"OGFOD2","2-oxoglutarate"
"ENSG00000111328.6",1812,"CDK2AP1","cyclin"
"ENSG00000111331.12",6719,"OAS3","2'-5'-oligoadenylate"
"ENSG00000111335.12",4734,"OAS2","2'-5'-oligoadenylate"
"ENSG00000111339.11",5167,"ART4","ADP-ribosyltransferase"
"ENSG00000111341.9",1405,"MGP","matrix"
"ENSG00000111344.11",3817,"RASAL1","RAS"
"ENSG00000111348.8",1256,"ARHGDIB","Rho"
"ENSG00000111358.13",3329,"GTF2H3","general"
"ENSG00000111361.12",2477,"EIF2B1","eukaryotic"
"ENSG00000111364.15",2654,"DDX55","DEAD-box"
"ENSG00000111371.15",8066,"SLC38A1","solute"
"ENSG00000111404.6",1147,"RERGL","RERG"
"ENSG00000111405.8",2413,"ENDOU","endonuclease,"
"ENSG00000111412.5",8404,"C12orf49","chromosome"
"ENSG00000111424.10",4773,"VDR","vitamin"
"ENSG00000111432.4",3282,"FZD10","frizzled"
"ENSG00000111445.13",2449,"RFC5","replication"
"ENSG00000111450.13",3331,"STX2","syntaxin"
"ENSG00000111452.12",5168,"ADGRD1","adhesion"
"ENSG00000111481.9",1897,"COPZ1","coatomer"
"ENSG00000111490.12",7433,"TBC1D30","TBC1"
"ENSG00000111530.12",11251,"CAND1","cullin"
"ENSG00000111536.4",1075,"IL26","interleukin"
"ENSG00000111537.4",1218,"IFNG","interferon"
"ENSG00000111540.15",5340,"RAB5B","RAB5B,"
"ENSG00000111554.14",2918,"MDM1","Mdm1"
"ENSG00000111581.9",6457,"NUP107","nucleoporin"
"ENSG00000111596.12",4753,"CNOT2","CCR4-NOT"
"ENSG00000111602.11",5121,"TIMELESS","timeless"
"ENSG00000111605.16",6616,"CPSF6","cleavage"
"ENSG00000111615.13",10118,"KRR1","KRR1,"
"ENSG00000111639.7",1234,"MRPL51","mitochondrial"
"ENSG00000111640.14",1875,"GAPDH","glyceraldehyde-3-phosphate"
"ENSG00000111641.11",3038,"NOP2","NOP2"
"ENSG00000111642.15",6673,"CHD4","chromodomain"
"ENSG00000111644.7",1933,"ACRBP","acrosin"
"ENSG00000111647.12",5168,"UHRF1BP1L","UHRF1"
"ENSG00000111652.9",2127,"COPS7A","COP9"
"ENSG00000111653.19",1709,"ING4","inhibitor"
"ENSG00000111664.10",1923,"GNB3","G"
"ENSG00000111665.11",2760,"CDCA3","cell"
"ENSG00000111666.10",2001,"CHPT1","choline"
"ENSG00000111667.13",3181,"USP5","ubiquitin"
"ENSG00000111669.14",1763,"TPI1","triosephosphate"
"ENSG00000111670.15",5701,"GNPTAB","N-acetylglucosamine-1-phosphate"
"ENSG00000111671.9",1496,"SPSB2","splA/ryanodine"
"ENSG00000111674.8",2827,"ENO2","enolase"
"ENSG00000111676.14",4351,"ATN1","atrophin"
"ENSG00000111678.10",980,"C12orf57","chromosome"
"ENSG00000111679.16",2389,"PTPN6","protein"
"ENSG00000111684.10",2268,"LPCAT3","lysophosphatidylcholine"
"ENSG00000111696.11",7207,"NT5DC3","5'-nucleotidase"
"ENSG00000111700.12",2840,"SLCO1B3","solute"
"ENSG00000111701.6",879,"APOBEC1","apolipoprotein"
"ENSG00000111704.10",5183,"NANOG","Nanog"
"ENSG00000111707.11",4897,"SUDS3","SDS3"
"ENSG00000111711.9",3227,"GOLT1B","golgi"
"ENSG00000111713.2",3132,"GYS2","glycogen"
"ENSG00000111716.12",1538,"LDHB","lactate"
"ENSG00000111725.10",2610,"PRKAB1","protein"
"ENSG00000111726.12",1787,"CMAS","cytidine"
"ENSG00000111727.11",5734,"HCFC2","host"
"ENSG00000111728.10",9714,"ST8SIA1","ST8"
"ENSG00000111729.14",1281,"CLEC4A","C-type"
"ENSG00000111731.12",4436,"C2CD5","C2"
"ENSG00000111732.10",2819,"AICDA","activation"
"ENSG00000111737.11",2945,"RAB35","RAB35,"
"ENSG00000111752.10",5033,"PHC1","polyhomeotic"
"ENSG00000111775.2",572,"COX6A1","cytochrome"
"ENSG00000111780.8",552,"AL021546.1",NA
"ENSG00000111783.12",3955,"RFX4","regulatory"
"ENSG00000111785.19",5135,"RIC8B","RIC8"
"ENSG00000111786.8",1201,"SRSF9","serine"
"ENSG00000111790.13",2924,"FGFR1OP2","FGFR1"
"ENSG00000111796.3",1448,"KLRB1","killer"
"ENSG00000111799.20",11723,"COL12A1","collagen"
"ENSG00000111801.15",3002,"BTN3A3","butyrophilin"
"ENSG00000111802.13",2120,"TDP2","tyrosyl-DNA"
"ENSG00000111816.7",13230,"FRK","fyn"
"ENSG00000111817.17",10617,"DSE","dermatan"
"ENSG00000111832.12",5522,"RWDD1","RWD"
"ENSG00000111834.12",2825,"RSPH4A","radial"
"ENSG00000111837.11",3984,"MAK","male"
"ENSG00000111843.13",1177,"TMEM14C","transmembrane"
"ENSG00000111845.4",1800,"PAK1IP1","PAK1"
"ENSG00000111846.17",4573,"GCNT2","glucosaminyl"
"ENSG00000111850.10",2437,"SMIM8","small"
"ENSG00000111859.16",4536,"NEDD9","neural"
"ENSG00000111860.13",7673,"CEP85L","centrosomal"
"ENSG00000111863.12",2058,"ADTRP","androgen"
"ENSG00000111875.7",2362,"ASF1A","anti-silencing"
"ENSG00000111877.17",5101,"MCM9","minichromosome"
"ENSG00000111879.18",4141,"FAM184A","family"
"ENSG00000111880.15",4553,"RNGTT","RNA"
"ENSG00000111885.6",5014,"MAN1A1","mannosidase"
"ENSG00000111886.10",1682,"GABRR2","gamma-aminobutyric"
"ENSG00000111897.6",3137,"SERINC1","serine"
"ENSG00000111906.17",918,"HDDC2","HD"
"ENSG00000111907.20",2356,"TPD52L1","tumor"
"ENSG00000111911.6",3314,"HINT3","histidine"
"ENSG00000111912.19",6457,"NCOA7","nuclear"
"ENSG00000111913.18",5678,"RIPOR2","RHO"
"ENSG00000111961.17",7711,"SASH1","SAM"
"ENSG00000111962.7",4198,"UST","uronyl"
"ENSG00000111971.14",950,"LY6G5C","lymphocyte"
"ENSG00000111981.4",3142,"ULBP1","UL16"
"ENSG00000112029.9",2221,"FBXO5","F-box"
"ENSG00000112031.15",3676,"MTRF1L","mitochondrial"
"ENSG00000112033.13",3774,"PPARD","peroxisome"
"ENSG00000112038.17",2485,"OPRM1","opioid"
"ENSG00000112039.3",2554,"FANCE","Fanconi"
"ENSG00000112041.12",2162,"TULP1","tubby"
"ENSG00000112053.13",3653,"SLC26A8","solute"
"ENSG00000112062.10",4319,"MAPK14","mitogen-activated"
"ENSG00000112077.16",2014,"RHAG","Rh"
"ENSG00000112078.13",5619,"KCTD20","potassium"
"ENSG00000112079.8",3576,"STK38","serine/threonine"
"ENSG00000112081.16",4222,"SRSF3","serine"
"ENSG00000112096.17",14266,"SOD2","superoxide"
"ENSG00000112110.9",978,"MRPL18","mitochondrial"
"ENSG00000112115.5",1859,"IL17A","interleukin"
"ENSG00000112116.9",850,"IL17F","interleukin"
"ENSG00000112118.18",3208,"MCM3","minichromosome"
"ENSG00000112130.16",5631,"RNF8","ring"
"ENSG00000112137.17",5332,"PHACTR1","phosphatase"
"ENSG00000112139.14",10736,"MDGA1","MAM"
"ENSG00000112144.15",6227,"ICK","intestinal"
"ENSG00000112146.16",4559,"FBXO9","F-box"
"ENSG00000112149.9",2471,"CD83","CD83"
"ENSG00000112159.11",18413,"MDN1","midasin"
"ENSG00000112164.5",3105,"GLP1R","glucagon"
"ENSG00000112167.9",2020,"SAYSD1","SAYSVFN"
"ENSG00000112175.7",3952,"BMP5","bone"
"ENSG00000112182.14",9113,"BACH2","BTB"
"ENSG00000112183.14",2703,"RBM24","RNA"
"ENSG00000112186.11",3316,"CAP2","cyclase"
"ENSG00000112195.8",3302,"TREML2","triggering"
"ENSG00000112200.16",9478,"ZNF451","zinc"
"ENSG00000112208.11",6651,"BAG2","BCL2"
"ENSG00000112210.11",4837,"RAB23","RAB23,"
"ENSG00000112212.11",958,"TSPO2","translocator"
"ENSG00000112214.10",2031,"FHL5","four"
"ENSG00000112218.8",5952,"GPR63","G"
"ENSG00000112232.8",2332,"KHDRBS2","KH"
"ENSG00000112234.8",8035,"FBXL4","F-box"
"ENSG00000112237.12",2473,"CCNC","cyclin"
"ENSG00000112238.11",2429,"PRDM13","PR/SET"
"ENSG00000112242.14",4749,"E2F3","E2F"
"ENSG00000112245.10",5088,"PTP4A1","protein"
"ENSG00000112246.9",8430,"SIM1","SIM"
"ENSG00000112249.13",8146,"ASCC3","activating"
"ENSG00000112273.6",2174,"HDGFL1","HDGF"
"ENSG00000112276.13",5567,"BVES","blood"
"ENSG00000112280.16",4761,"COL9A1","collagen"
"ENSG00000112282.17",5233,"MED23","mediator"
"ENSG00000112290.12",3220,"WASF1","WAS"
"ENSG00000112293.14",3489,"GPLD1","glycosylphosphatidylinositol"
"ENSG00000112294.12",5248,"ALDH5A1","aldehyde"
"ENSG00000112297.14",9909,"CRYBG1","crystallin"
"ENSG00000112299.7",3106,"VNN1","vanin"
"ENSG00000112303.13",2118,"VNN2","vanin"
"ENSG00000112304.10",4391,"ACOT13","acyl-CoA"
"ENSG00000112305.14",3333,"SMAP1","small"
"ENSG00000112306.7",631,"RPS12","ribosomal"
"ENSG00000112308.12",4134,"C6orf62","chromosome"
"ENSG00000112309.10",6565,"B3GAT2","beta-1,3-glucuronyltransferase"
"ENSG00000112312.9",1262,"GMNN","geminin,"
"ENSG00000112319.18",5699,"EYA4","EYA"
"ENSG00000112320.11",5245,"SOBP","sine"
"ENSG00000112333.11",3212,"NR2E1","nuclear"
"ENSG00000112335.14",1755,"SNX3","sorting"
"ENSG00000112337.10",2524,"SLC17A2","solute"
"ENSG00000112339.14",7163,"HBS1L","HBS1"
"ENSG00000112343.10",9413,"TRIM38","tripartite"
"ENSG00000112357.12",1464,"PEX7","peroxisomal"
"ENSG00000112365.4",5519,"ZBTB24","zinc"
"ENSG00000112367.10",3011,"FIG4","FIG4"
"ENSG00000112378.11",4290,"PERP","PERP,"
"ENSG00000112379.8",14877,"ARFGEF3","ARFGEF"
"ENSG00000112394.16",10051,"SLC16A10","solute"
"ENSG00000112406.4",5614,"HECA","hdc"
"ENSG00000112414.14",7026,"ADGRG6","adhesion"
"ENSG00000112419.14",9531,"PHACTR2","phosphatase"
"ENSG00000112425.14",3465,"EPM2A","EPM2A,"
"ENSG00000112459.5",966,"OR14J1","olfactory"
"ENSG00000112461.9",1266,"OR5V1","olfactory"
"ENSG00000112462.8",1869,"OR12D3","olfactory"
"ENSG00000112473.17",2409,"SLC39A7","solute"
"ENSG00000112474.4",990,"HSD17B8","hydroxysteroid"
"ENSG00000112486.16",4018,"CCR6","C-C"
"ENSG00000112493.12",3766,"TAPBP","TAP"
"ENSG00000112494.9",2116,"UNC93A","unc-93"
"ENSG00000112499.12",3737,"SLC22A2","solute"
"ENSG00000112511.17",2330,"PHF1","PHD"
"ENSG00000112514.15",1199,"CUTA","cutA"
"ENSG00000112530.11",1619,"PACRG","parkin"
"ENSG00000112531.16",9463,"QKI","QKI,"
"ENSG00000112539.14",1812,"C6orf118","chromosome"
"ENSG00000112541.13",8233,"PDE10A","phosphodiesterase"
"ENSG00000112559.13",1629,"MDFI","MyoD"
"ENSG00000112561.17",2595,"TFEB","transcription"
"ENSG00000112562.18",3150,"SMOC2","SPARC"
"ENSG00000112576.12",2394,"CCND3","cyclin"
"ENSG00000112578.9",2029,"BYSL","bystin"
"ENSG00000112584.13",5155,"FAM120B","family"
"ENSG00000112592.13",1903,"TBP","TATA-box"
"ENSG00000112599.8",1113,"GUCA1B","guanylate"
"ENSG00000112619.7",2976,"PRPH2","peripherin"
"ENSG00000112624.12",6530,"BICRAL","BRD4"
"ENSG00000112640.14",3044,"PPP2R5D","protein"
"ENSG00000112651.11",1588,"MRPL2","mitochondrial"
"ENSG00000112655.15",4272,"PTK7","protein"
"ENSG00000112658.7",4202,"SRF","serum"
"ENSG00000112659.13",7780,"CUL9","cullin"
"ENSG00000112667.12",834,"DNPH1","2'-deoxynucleoside"
"ENSG00000112679.14",3824,"DUSP22","dual"
"ENSG00000112685.13",4449,"EXOC2","exocyst"
"ENSG00000112695.11",914,"COX7A2","cytochrome"
"ENSG00000112697.15",4594,"TMEM30A","transmembrane"
"ENSG00000112699.10",1752,"GMDS","GDP-mannose"
"ENSG00000112701.17",6501,"SENP6","SUMO"
"ENSG00000112706.11",3558,"IMPG1","interphotoreceptor"
"ENSG00000112715.21",3535,"VEGFA","vascular"
"ENSG00000112739.16",4415,"PRPF4B","pre-mRNA"
"ENSG00000112742.9",3725,"TTK","TTK"
"ENSG00000112759.17",2326,"SLC29A1","solute"
"ENSG00000112761.20",2700,"WISP3","WNT1"
"ENSG00000112763.15",3113,"BTN2A1","butyrophilin"
"ENSG00000112769.18",6547,"LAMA4","laminin"
"ENSG00000112773.15",5664,"TENT5A","terminal"
"ENSG00000112782.16",5976,"CLIC5","chloride"
"ENSG00000112787.12",5568,"FBRSL1","fibrosin"
"ENSG00000112796.9",3834,"ENPP5","ectonucleotide"
"ENSG00000112799.8",1197,"LY86","lymphocyte"
"ENSG00000112812.15",2716,"PRSS16","serine"
"ENSG00000112818.9",2971,"MEP1A","meprin"
"ENSG00000112837.16",6245,"TBX18","T-box"
"ENSG00000112851.14",8647,"ERBIN","erbb2"
"ENSG00000112852.6",4126,"PCDHB2","protocadherin"
"ENSG00000112855.15",2510,"HARS2","histidyl-tRNA"
"ENSG00000112874.9",3492,"NUDT12","nudix"
"ENSG00000112877.7",2434,"CEP72","centrosomal"
"ENSG00000112893.9",4667,"MAN2A1","mannosidase"
"ENSG00000112902.11",11762,"SEMA5A","semaphorin"
"ENSG00000112936.18",4257,"C7","complement"
"ENSG00000112941.13",5459,"TENT4A","terminal"
"ENSG00000112964.13",4814,"GHR","growth"
"ENSG00000112972.14",3506,"HMGCS1","3-hydroxy-3-methylglutaryl-CoA"
"ENSG00000112977.15",2339,"DAP","death"
"ENSG00000112981.4",1198,"NME5","NME/NM23"
"ENSG00000112983.17",4388,"BRD8","bromodomain"
"ENSG00000112984.11",3201,"KIF20A","kinesin"
"ENSG00000112992.16",6483,"NNT","nicotinamide"
"ENSG00000112996.10",1678,"MRPS30","mitochondrial"
"ENSG00000113013.12",3321,"HSPA9","heat"
"ENSG00000113048.16",2785,"MRPS27","mitochondrial"
"ENSG00000113068.9",1352,"PFDN1","prefoldin"
"ENSG00000113070.7",2386,"HBEGF","heparin"
"ENSG00000113073.14",3277,"SLC4A9","solute"
"ENSG00000113083.13",5102,"LOX","lysyl"
"ENSG00000113088.5",1509,"GZMK","granzyme"
"ENSG00000113100.9",3079,"CDH9","cadherin"
"ENSG00000113108.19",2218,"APBB3","amyloid"
"ENSG00000113119.12",1887,"TMCO6","transmembrane"
"ENSG00000113140.10",3701,"SPARC","secreted"
"ENSG00000113141.17",1962,"IK","IK"
"ENSG00000113161.15",4585,"HMGCR","3-hydroxy-3-methylglutaryl-CoA"
"ENSG00000113163.16",8268,"COL4A3BP","collagen"
"ENSG00000113194.12",4515,"FAF2","Fas"
"ENSG00000113196.2",1738,"HAND1","heart"
"ENSG00000113205.5",3355,"PCDHB3","protocadherin"
"ENSG00000113209.8",3408,"PCDHB5","protocadherin"
"ENSG00000113211.5",3266,"PCDHB6","protocadherin"
"ENSG00000113212.6",3765,"PCDHB7","protocadherin"
"ENSG00000113231.13",5956,"PDE8B","phosphodiesterase"
"ENSG00000113240.12",2568,"CLK4","CDC"
"ENSG00000113248.5",4017,"PCDHB15","protocadherin"
"ENSG00000113249.12",1845,"HAVCR1","hepatitis"
"ENSG00000113262.14",6143,"GRM6","glutamate"
"ENSG00000113263.12",4528,"ITK","IL2"
"ENSG00000113269.13",9945,"RNF130","ring"
"ENSG00000113272.13",3107,"THG1L","tRNA-histidine"
"ENSG00000113273.16",5329,"ARSB","arylsulfatase"
"ENSG00000113282.13",3987,"CLINT1","clathrin"
"ENSG00000113296.14",3222,"THBS4","thrombospondin"
"ENSG00000113300.11",6303,"CNOT6","CCR4-NOT"
"ENSG00000113302.4",2761,"IL12B","interleukin"
"ENSG00000113303.11",2229,"BTNL8","butyrophilin"
"ENSG00000113312.10",1467,"TTC1","tetratricopeptide"
"ENSG00000113318.9",4092,"MSH3","mutS"
"ENSG00000113319.12",8167,"RASGRF2","Ras"
"ENSG00000113327.16",11735,"GABRG2","gamma-aminobutyric"
"ENSG00000113328.18",2458,"CCNG1","cyclin"
"ENSG00000113356.11",3285,"POLR3G","RNA"
"ENSG00000113360.16",5305,"DROSHA","drosha"
"ENSG00000113361.12",8476,"CDH6","cadherin"
"ENSG00000113368.11",2878,"LMNB1","lamin"
"ENSG00000113369.8",4188,"ARRDC3","arrestin"
"ENSG00000113384.13",2721,"GOLPH3","golgi"
"ENSG00000113387.11",3507,"SUB1","SUB1"
"ENSG00000113389.15",7344,"NPR3","natriuretic"
"ENSG00000113391.18",4312,"FAM172A","family"
"ENSG00000113396.12",3219,"SLC27A6","solute"
"ENSG00000113407.13",4314,"TARS","threonyl-tRNA"
"ENSG00000113430.9",2538,"IRX4","iroquois"
"ENSG00000113441.15",12752,"LNPEP","leucyl"
"ENSG00000113448.18",8232,"PDE4D","phosphodiesterase"
"ENSG00000113456.18",5770,"RAD1","RAD1"
"ENSG00000113460.12",1926,"BRIX1","BRX1,"
"ENSG00000113492.13",2364,"AGXT2","alanine--glyoxylate"
"ENSG00000113494.16",11688,"PRLR","prolactin"
"ENSG00000113504.20",5280,"SLC12A7","solute"
"ENSG00000113520.10",717,"IL4","interleukin"
"ENSG00000113522.13",8306,"RAD50","RAD50"
"ENSG00000113525.9",816,"IL5","interleukin"
"ENSG00000113532.12",6303,"ST8SIA4","ST8"
"ENSG00000113552.15",2980,"GNPDA1","glucosamine-6-phosphate"
"ENSG00000113555.5",6562,"PCDH12","protocadherin"
"ENSG00000113558.18",9474,"SKP1","S-phase"
"ENSG00000113569.15",8143,"NUP155","nucleoporin"
"ENSG00000113575.9",4649,"PPP2CA","protein"
"ENSG00000113578.17",4062,"FGF1","fibroblast"
"ENSG00000113580.14",7286,"NR3C1","nuclear"
"ENSG00000113583.7",2358,"C5orf15","chromosome"
"ENSG00000113593.11",2195,"PPWD1","peptidylprolyl"
"ENSG00000113594.9",10089,"LIFR","LIF"
"ENSG00000113595.14",4186,"TRIM23","tripartite"
"ENSG00000113597.17",3221,"TRAPPC13","trafficking"
"ENSG00000113600.10",2713,"C9","complement"
"ENSG00000113615.12",6299,"SEC24A","SEC24"
"ENSG00000113621.14",3548,"TXNDC15","thioredoxin"
"ENSG00000113638.13",2612,"TTC33","tetratricopeptide"
"ENSG00000113643.8",2146,"RARS","arginyl-tRNA"
"ENSG00000113645.14",7130,"WWC1","WW"
"ENSG00000113648.16",2789,"H2AFY","H2A"
"ENSG00000113649.11",4654,"TCERG1","transcription"
"ENSG00000113657.12",5476,"DPYSL3","dihydropyrimidinase"
"ENSG00000113658.17",7012,"SMAD5","SMAD"
"ENSG00000113712.17",6067,"CSNK1A1","casein"
"ENSG00000113716.12",5567,"HMGXB3","HMG-box"
"ENSG00000113719.15",3952,"ERGIC1","endoplasmic"
"ENSG00000113721.13",5717,"PDGFRB","platelet"
"ENSG00000113722.16",1758,"CDX1","caudal"
"ENSG00000113732.8",1433,"ATP6V0E1","ATPase"
"ENSG00000113734.17",1339,"BNIP1","BCL2"
"ENSG00000113739.10",5353,"STC2","stanniocalcin"
"ENSG00000113742.12",9483,"CPEB4","cytoplasmic"
"ENSG00000113749.7",4067,"HRH2","histamine"
"ENSG00000113758.13",3072,"DBN1","drebrin"
"ENSG00000113761.11",2774,"ZNF346","zinc"
"ENSG00000113763.11",3941,"UNC5A","unc-5"
"ENSG00000113790.10",3850,"EHHADH","enoyl-CoA"
"ENSG00000113805.8",4948,"CNTN3","contactin"
"ENSG00000113810.15",5471,"SMC4","structural"
"ENSG00000113811.10",1633,"SELENOK","selenoprotein"
"ENSG00000113812.13",3629,"ACTR8","ARP8"
"ENSG00000113838.12",3058,"TBCCD1","TBCC"
"ENSG00000113845.9",2394,"TIMMDC1","translocase"
"ENSG00000113851.14",2223,"CRBN","cereblon"
"ENSG00000113889.12",3766,"KNG1","kininogen"
"ENSG00000113905.4",2015,"HRG","histidine"
"ENSG00000113916.17",3569,"BCL6","B"
"ENSG00000113924.11",2005,"HGD","homogentisate"
"ENSG00000113946.3",3273,"CLDN16","claudin"
"ENSG00000113966.9",4231,"ARL6","ADP"
"ENSG00000113971.19",4362,"NPHP3","nephrocystin"
"ENSG00000114013.15",2708,"CD86","CD86"
"ENSG00000114019.14",4521,"AMOTL2","angiomotin"
"ENSG00000114021.11",7289,"NIT2","nitrilase"
"ENSG00000114023.15",3052,"FAM162A","family"
"ENSG00000114026.21",2220,"OGG1","8-oxoguanine"
"ENSG00000114030.12",6830,"KPNA1","karyopherin"
"ENSG00000114054.13",6090,"PCCB","propionyl-CoA"
"ENSG00000114062.18",9352,"UBE3A","ubiquitin"
"ENSG00000114098.17",4790,"ARMC8","armadillo"
"ENSG00000114107.8",2732,"CEP70","centrosomal"
"ENSG00000114113.6",694,"RBP2","retinol"
"ENSG00000114115.9",1935,"RBP1","retinol"
"ENSG00000114120.11",4638,"SLC25A36","solute"
"ENSG00000114124.2",3239,"GRK7","G"
"ENSG00000114125.13",2763,"RNF7","ring"
"ENSG00000114126.17",9857,"TFDP2","transcription"
"ENSG00000114127.10",10143,"XRN1","5'-3'"
"ENSG00000114166.7",4833,"KAT2B","lysine"
"ENSG00000114200.9",2454,"BCHE","butyrylcholinesterase"
"ENSG00000114204.14",1837,"SERPINI2","serpin"
"ENSG00000114209.14",2067,"PDCD10","programmed"
"ENSG00000114248.9",2520,"LRRC31","leucine"
"ENSG00000114251.14",6176,"WNT5A","Wnt"
"ENSG00000114268.11",3586,"PFKFB4","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase"
"ENSG00000114270.17",9276,"COL7A1","collagen"
"ENSG00000114279.13",5406,"FGF12","fibroblast"
"ENSG00000114302.15",6471,"PRKAR2A","protein"
"ENSG00000114315.3",1578,"HES1","hes"
"ENSG00000114316.12",3222,"USP4","ubiquitin"
"ENSG00000114331.13",7160,"ACAP2","ArfGAP"
"ENSG00000114346.13",4406,"ECT2","epithelial"
"ENSG00000114349.9",2417,"GNAT1","G"
"ENSG00000114353.16",2464,"GNAI2","G"
"ENSG00000114354.13",1978,"TFG","TRK-fused"
"ENSG00000114374.12",10036,"USP9Y","ubiquitin"
